School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Christian Brothers College,42.16,26.85,69.01,1,9,1
Liberty North,27.56,39.98,67.54,9,1,2
St. Mary's South Side,38.4,24.9,63.3,2,11,3
Lee's Summit North,24.84,38.04,62.89,16,2,4
Francis Howell,33.91,28.42,62.32,3,6,5
Cardinal Ritter,26.26,30.38,56.64,12,4,6
Blair Oaks,31.35,19.87,51.22,7,24,7
Nixa,25.71,24.73,50.44,13,12,8
Carthage,21.87,27.51,49.38,28,8,9
Rockhurst,20.36,28.88,49.24,33,5,10
Smithville,17.49,30.48,47.96,43,3,11
Blue Springs South,27.14,20.75,47.89,11,21,12
Staley,28.98,17.89,46.87,8,30,13
De Smet Jesuit,22.97,23.7,46.67,24,14,14
Liberty,20.28,25.62,45.9,34,10,15
Hillsboro,25.21,19.89,45.1,15,23,16
Lamar,23.49,20.99,44.49,21,20,17
Park Hill South,21.8,22.37,44.18,29,17,18
Troy Buchanan,23.65,19.34,42.99,20,26,19
Center,22.61,20.34,42.95,25,22,20
Raymore-Peculiar,32.83,8.98,41.82,4,82,21
Bowling Green,32.1,9.46,41.55,6,79,22
Fort Osage,23.75,17.39,41.14,19,34,23
Lebanon,24.2,16.69,40.89,17,39,24
Park Hill,32.24,8.4,40.64,5,85,25
Valle Catholic,25.3,15.2,40.5,14,45,26
Lee's Summit West,11.47,28.28,39.74,67,7,27
Kearney,21.87,17.72,39.59,27,32,28
Joplin,22.49,16.21,38.7,26,40,29
Rock Bridge,19.73,17.75,37.47,37,31,30
Lee's Summit,24.05,12.97,37.03,18,58,31
Grain Valley,12.28,24.39,36.67,64,13,32
Nevada,20.87,14.87,35.75,31,46,33
Oak Park,16.37,18.9,35.27,49,27,34
Webb City,16.25,18.46,34.71,50,28,35
Marquette,11.02,23.57,34.59,69,15,36
Central (Park Hills),17.26,17.23,34.49,46,36,37
Kirkwood,19.78,14.54,34.33,36,47,38
Camdenton,20.67,13.61,34.28,32,54,39
Jackson,17.68,15.65,33.33,42,44,40
Lafayette County,16.0,17.3,33.3,52,35,41
Lutheran North,13.53,19.67,33.2,56,25,42
Eureka,15.54,17.48,33.02,53,33,43
Timberland,22.98,9.85,32.82,23,76,44
MICDS,18.4,14.13,32.54,39,52,45
Lutheran St. Charles,17.81,14.33,32.15,41,48,46
Blue Springs,17.34,14.28,31.62,45,49,47
East Buchanan,13.3,18.25,31.55,57,29,48
Republic,19.81,11.56,31.37,35,65,49
Holt,9.51,21.18,30.7,77,19,50
SLUH,16.52,14.18,30.7,48,51,51
Helias Catholic,13.03,16.03,29.06,61,41,52
Rockwood Summit,16.22,12.7,28.92,51,61,53
Pleasant Hill,17.07,11.72,28.79,47,63,54
Hannibal,18.32,10.32,28.64,40,71,55
Maryville,20.91,7.39,28.29,30,93,56
Kickapoo,4.34,23.55,27.89,106,16,57
Platte County,14.83,13.03,27.86,55,57,58
Liberty (Mountain View),10.6,15.7,26.3,72,43,59
Seneca,19.04,6.91,25.95,38,96,60
Capital City,12.34,13.54,25.88,63,55,61
Seckman,23.19,1.8,24.99,22,123,62
Savannah,10.86,14.03,24.88,71,53,63
West Plains,10.53,13.23,23.76,73,56,64
Gallatin with Tri-County,7.64,15.72,23.36,85,42,65
Ft. Zumwalt West,17.36,5.85,23.2,44,103,66
Monroe City,12.26,10.37,22.63,65,70,67
Richmond,5.2,17.06,22.25,97,37,68
North Kansas City,0.6,21.62,22.22,135,18,69
Lafayette (Wildwood),11.84,7.75,19.59,66,89,70
St. Dominic,2.64,16.83,19.47,122,38,71
Lift for Life Academy Charter,9.0,10.08,19.08,78,74,72
Ft. Zumwalt North,7.23,11.6,18.83,88,64,73
Raytown,13.1,5.66,18.76,60,104,74
Duchesne,10.05,8.66,18.71,75,83,75
Reeds Spring,8.53,9.55,18.08,79,78,76
Vashon,7.09,10.77,17.87,89,68,77
Union,11.29,6.28,17.57,68,102,78
St. Pius X (Kansas City),4.65,12.74,17.4,99,60,79
Carl Junction,5.74,11.36,17.1,94,66,80
Jefferson City,12.73,4.28,17.01,62,113,81
Neosho,27.28,-10.74,16.54,10,222,82
Parkway West,3.82,12.22,16.04,111,62,83
Glendale,8.01,7.91,15.92,83,87,84
Washington,10.17,5.46,15.63,74,106,85
Hazelwood Central,2.64,12.76,15.4,123,59,86
Mt. Vernon,4.44,10.79,15.22,104,67,87
Central (Cape Girardeau),6.35,7.45,13.8,91,92,88
Poplar Bluff,-0.61,14.24,13.63,144,50,89
Pattonville,5.81,7.79,13.6,93,88,90
Adrian,3.44,10.04,13.47,116,75,91
Ozark,8.25,4.76,13.0,80,108,92
Belton,2.67,9.6,12.26,121,77,93
Oakville,5.21,6.39,11.59,96,100,94
Lincoln College Prep,4.3,7.01,11.31,108,94,95
Ritenour,9.71,0.94,10.65,76,128,96
Lindbergh,0.34,10.1,10.44,139,73,97
Mid-Buchanan,1.92,7.68,9.59,125,90,98
Macon,1.95,7.59,9.55,124,91,99
St. Francis Borgia,5.98,3.49,9.47,92,116,100
Central (New Madrid County),13.22,-3.93,9.29,59,177,101
Central (St. Joseph),15.01,-5.95,9.07,54,192,102
Rolla,0.53,8.09,8.62,136,86,103
Grandview,8.05,0.13,8.18,82,139,104
Lincoln,3.72,4.31,8.03,113,111,105
Osage,6.58,1.11,7.7,90,127,106
Parkway Central,2.82,4.55,7.37,120,109,107
Parkway North,10.89,-3.56,7.33,70,175,108
Chaminade College Prep,8.09,-1.06,7.03,81,147,109
McDonald County,-3.66,10.64,6.98,162,69,110
Mountain Grove,4.54,2.4,6.93,100,120,111
North County,4.09,2.71,6.8,109,118,112
Odessa,13.25,-7.0,6.25,58,197,113
Logan-Rogersville,0.76,5.08,5.84,133,107,114
Hazelwood East,-3.63,9.45,5.82,161,80,115
Harrisonville,1.08,4.14,5.22,130,114,116
Warrensburg,4.38,0.83,5.21,105,129,117
Ladue Horton Watkins,4.45,0.7,5.15,103,134,118
Marshfield,2.92,2.22,5.13,119,122,119
Festus,5.11,-0.03,5.08,98,140,120
Monett,-2.06,6.98,4.91,151,95,121
Chillicothe,0.86,3.94,4.8,131,115,122
Excelsior Springs,3.89,0.77,4.66,110,131,123
Sullivan,-3.85,8.44,4.58,164,84,124
Centralia,-4.89,9.36,4.48,167,81,125
Bolivar,-2.57,6.82,4.25,156,98,126
Trenton,-2.2,6.35,4.14,153,101,127
Van Horn,-6.17,10.22,4.05,177,72,128
Scott City,7.38,-3.54,3.84,86,174,129
Portageville,7.66,-4.18,3.47,84,182,130
Waynesville,3.71,-0.42,3.29,114,142,131
Ste. Genevieve,7.26,-4.06,3.2,87,179,132
Hallsville,5.62,-2.63,2.99,95,161,133
Ava,-2.02,4.29,2.26,150,112,134
Kirksville,3.79,-1.53,2.26,112,150,135
Farmington,4.32,-2.06,2.25,107,156,136
Francis Howell North,1.62,0.43,2.05,126,137,137
Willard,4.53,-2.79,1.74,102,164,138
Butler,3.63,-2.07,1.55,115,157,139
Holden,0.47,0.82,1.29,137,130,140
St. Clair,-0.48,1.34,0.87,143,125,141
Hermann,-6.26,6.9,0.63,179,97,142
Branson,-4.94,5.51,0.56,168,105,143
Cassville,-2.0,2.4,0.4,149,119,144
Marionville,-0.35,0.33,-0.02,141,138,145
Putnam County,1.43,-1.65,-0.22,129,151,146
Lawson,-3.77,3.3,-0.48,163,117,147
St. Michael the Archangel,-0.14,-0.61,-0.75,140,143,148
Houston,-5.56,4.41,-1.15,173,110,149
Tipton,-3.02,1.58,-1.44,159,124,150
Cole Camp,1.59,-3.25,-1.67,127,168,151
South Shelby,0.38,-2.28,-1.9,138,158,152
California,4.53,-6.69,-2.16,101,195,153
Southern Boone,-1.84,-0.34,-2.18,148,141,154
Hickman,0.77,-2.95,-2.18,132,166,155
Boonville,-3.43,1.24,-2.19,160,126,156
Francis Howell Central,-2.98,0.73,-2.25,158,132,157
Smith-Cotton,0.65,-3.5,-2.85,134,173,158
St. Charles West,-1.7,-1.75,-3.44,146,153,159
Raytown South,1.47,-5.65,-4.17,128,189,160
William Chrisman,-5.04,0.71,-4.32,170,133,161
Kennett,-0.39,-3.98,-4.37,142,178,162
Oak Grove,3.3,-8.41,-5.11,117,205,163
Potosi,-1.7,-3.48,-5.18,147,172,164
Penney,-2.63,-2.86,-5.49,157,165,165
Mexico,-2.38,-3.23,-5.61,154,167,166
Strafford,-2.48,-3.34,-5.82,155,170,167
Clark County,-6.64,0.58,-6.06,181,135,168
Milan,-7.0,0.49,-6.51,183,136,169
Central (Springfield),-13.87,6.64,-7.22,230,99,170
Warsaw,-6.65,-1.01,-7.66,182,145,171
Parkway South,-5.57,-2.3,-7.87,174,159,172
Fox,-7.03,-1.76,-8.79,184,154,173
McCluer,-11.81,2.32,-9.48,213,121,174
Pembroke Hill,-8.49,-1.04,-9.53,193,146,175
Windsor,-8.35,-1.35,-9.7,191,148,176
Hollister,-7.99,-1.72,-9.71,189,152,177
Vianney,-0.84,-8.97,-9.81,145,208,178
Moberly,-9.36,-1.39,-10.75,197,149,179
Fair Grove,-2.18,-9.53,-11.71,152,213,180
North Callaway,-5.76,-6.04,-11.8,175,194,181
St. Vincent,-5.01,-8.19,-13.19,169,202,182
North Platte,-4.64,-9.27,-13.91,166,211,183
South Callaway,-7.26,-6.75,-14.0,185,196,184
Charleston,-10.28,-4.16,-14.44,200,181,185
Priory,-11.25,-3.41,-14.66,206,171,186
Brookfield,-4.5,-10.86,-15.36,165,228,187
Owensville,-13.51,-1.92,-15.43,228,155,188
John Burroughs,-12.93,-2.55,-15.48,226,160,189
Ft. Zumwalt South,-12.05,-3.67,-15.72,217,176,190
Brentwood,-13.7,-2.76,-16.46,229,163,191
Aurora,-11.79,-4.71,-16.5,212,184,192
