School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Cardinal Ritter,26.14,30.24,56.38,1,1,1
Valle Catholic,25.26,15.16,40.43,2,4,2
Central (Park Hills),17.25,17.17,34.41,5,3,3
Lutheran North,13.45,19.53,32.99,7,2,4
Lutheran St. Charles,17.72,14.17,31.89,4,5,5
Pleasant Hill,16.99,11.58,28.57,6,8,6
Maryville,20.84,7.28,28.12,3,11,7
Savannah,10.79,13.9,24.7,9,6,8
Reeds Spring,8.47,9.42,17.89,10,9,9
St. Pius X (Kansas City),4.61,12.66,17.28,13,7,10
Osage,6.55,1.05,7.6,12,16,11
Odessa,13.2,-7.11,6.09,8,29,12
Chillicothe,0.79,3.84,4.63,16,12,13
Sullivan,-3.9,8.35,4.45,25,10,14
Ste. Genevieve,7.37,-4.03,3.35,11,23,15
St. Clair,-0.5,1.27,0.77,18,14,16
Cassville,-2.08,2.26,0.19,22,13,17
Southern Boone,-1.86,-0.4,-2.25,21,17,18
Boonville,-3.48,1.18,-2.3,24,15,19
St. Charles West,-1.73,-1.92,-3.65,19,19,20
Kennett,-0.12,-4.22,-4.34,17,24,21
Potosi,-1.74,-3.51,-5.25,20,22,22
Oak Grove,3.22,-8.55,-5.33,14,31,23
Mexico,-2.47,-3.34,-5.81,23,21,24
Moberly,-9.45,-1.52,-10.96,30,18,25
Owensville,-13.53,-2.01,-15.54,36,20,26
Aurora,-11.87,-4.83,-16.71,32,25,27
Benton,-6.36,-10.93,-17.28,27,33,28
Cameron,-12.01,-5.32,-17.33,33,27,29
Eldon,-5.99,-12.34,-18.33,26,36,30
Buffalo,3.13,-23.34,-20.21,15,44,31
University City,-12.81,-7.86,-20.67,35,30,32
Wright City,-9.22,-12.23,-21.45,29,35,33
Herculaneum,-16.83,-4.98,-21.81,42,26,34
Lutheran South,-8.95,-13.33,-22.27,28,37,35
Dexter,-12.79,-11.9,-24.69,34,34,36
Orchard Farm,-20.28,-6.36,-26.64,43,28,37
Clinton,-14.08,-13.75,-27.83,38,38,38
Normandy Collaborative,-13.62,-14.81,-28.43,37,39,39
Fredericktown,-20.49,-8.56,-29.05,45,32,40
St. James,-15.14,-14.88,-30.03,40,40,41
Summit Christian Academy,-14.7,-20.25,-34.96,39,43,42
Fulton,-16.32,-19.99,-36.31,41,42,43
Westminster Christian Academy,-11.06,-26.05,-37.1,31,46,44
Lafayette (St. Joseph),-20.37,-17.89,-38.26,44,41,45
Salem,-26.43,-23.89,-50.32,47,45,46
Bayless,-25.92,-27.14,-53.06,46,47,47
Northeast (Kansas City),-31.25,-28.88,-60.13,48,48,48
Central (Kansas City),-35.43,-37.98,-73.41,49,49,49
