Date,Home Team,Home Score,Away Team,Away Score
2022-08-26,Seneca,44,Aurora,8
2022-08-26,Park Hill,68,Battle with Columbia Independent,38
2022-08-26,Principia with Whitfield,7,Bayless,14
2022-08-26,Excelsior Springs,11,Belton,21
2022-08-26,DeSoto,42,Bishop DuBourg with Hancock,12
2022-08-26,Lee's Summit,27,Blue Springs South,52
2022-08-26,Pleasant Hill,47,Boonville,14
2022-08-26,Louisiana,6,Bowling Green,68
2022-08-26,Trenton,29,Brookfield,8
2022-08-26,Ava,37,Buffalo,19
2022-08-26,Savannah,47,California,34
2022-08-26,Lincoln College Prep,41,Cameron,0
2022-08-26,Warrensburg,14,Capital City,24
2022-08-26,McCluer,0,Cardinal Ritter,46
2022-08-26,Fayette,14,Carrollton,6
2022-08-26,Republic,26,Carthage,56
2022-08-26,Poplar Bluff,7,Central (Park Hills),29
2022-08-26,Clever,6,Central (Springfield),32
2022-08-26,Ruskin,14,Central (St. Joseph),49
2022-08-26,Crystal City,43,Chaffee,0
2022-08-26,Lindbergh,28,Chaminade College Prep,26
2022-08-26,Marshall,7,Chillicothe,42
2022-08-26,Scotland County,0,Clark County,56
2022-08-26,Butler,55,Clinton,25
2022-08-26,Wellington-Napoleon,7,Cole Camp,36
2022-08-26,Ash Grove,34,Diamond,7
2022-08-26,Kelly,28,Doniphan,8
2022-08-26,Lift for Life Academy Charter,24,Duchesne,15
2022-08-26,Van Horn,53,East (Kansas City),8
2022-08-26,South Harrison,14,East Buchanan,48
2022-08-26,Forsyth,37,El Dorado Springs,24
2022-08-26,Fulton,20,Eldon,47
2022-08-26,Ft. Zumwalt West,28,Eureka,43
2022-08-26,Grain Valley,14,Fort Osage,33
2022-08-26,Mehlville,7,Fox,26
2022-08-26,Jefferson (Festus),3,Fredericktown,6
2022-08-26,Francis Howell Central,24,Ft. Zumwalt East,21
2022-08-26,Francis Howell,45,Ft. Zumwalt North,0
2022-08-26,Clayton,13,Gateway,26
2022-08-26,William Chrisman,21,Grandview,14
2022-08-26,Palmyra,20,Hallsville,58
2022-08-26,Helias Catholic,31,Hannibal,21
2022-08-26,Cabool,14,Harrisburg,22
2022-08-26,MICDS,37,Harrisonville,2
2022-08-26,Windsor (Imperial),6,Herculaneum,42
2022-08-26,North Kansas City,28,Hickman,0
2022-08-26,Putnam County,55,Highland,36
2022-08-26,Cassville,35,Hollister,26
2022-08-26,Troy Buchanan,34,Holt,20
2022-08-26,Branson,3,Joplin,34
2022-08-26,Hillcrest,0,Kickapoo,49
2022-08-26,Vashon with Miller Career Academy,28,Kirkwood,27
2022-08-26,Versailles,6,Knob Noster,26
2022-08-26,Center,61,Lafayette (St. Joseph),6
2022-08-26,Penney,23,Lafayette County,61
2022-08-26,Lexington,0,Lathrop,39
2022-08-26,Oak Grove,16,Lawson,20
2022-08-26,Liberty,30,Lee's Summit West,0
2022-08-26,Strafford,7,Liberty (Mountain View),42
2022-08-26,Timberland,58,Liberty (Wentzville),14
2022-08-26,Lee's Summit North,7,Liberty North,17
2022-08-26,East Newton,22,Logan-Rogersville,35
2022-08-26,Hazelwood Central,6,Lutheran North,27
2022-08-26,Affton,20,Lutheran South,46
2022-08-26,Kirksville,14,Macon,27
2022-08-26,Lafayette (Wildwood),14,Marquette,21
